week,content_supply,weighted_supply,views,comments,engagements,view_per_item,engagement_per_item,avg_velocity,demand_pressure,content_supply_z,avg_velocity_z,demand_pressure_z
2026-04-13,25,20.0,0,0,0,0.0,0.0,0.0,0.0,-0.7541939280791187,0.0,0.0
2026-04-20,58,46.400000000000006,0,0,0,0.0,0.0,0.0,0.0,-0.6776478835333031,0.0,0.0
2026-04-27,91,63.5,0,0,0,0.0,0.0,0.0,0.0,-0.6011018389874874,0.0,0.0
2026-05-04,232,186.8,0,0,0,0.0,0.0,0.0,0.0,-0.2740414668371842,0.0,0.0
2026-05-11,261,196.8,0,0,0,0.0,0.0,0.0,0.0,-0.2067737307211644,0.0,0.0
2026-05-18,540,422.2,0,0,0,0.0,0.0,0.0,0.0,0.44038828225709514,0.0,0.0
2026-05-25,1244,812.2,0,0,0,0.0,0.0,0.0,0.0,2.0733705659011625,0.0,0.0
