date,canonical_keyword,mentions,weighted_mentions,views,likes,comments,engagements,source_count,core_mentions,related_mentions
2026-05-05,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-06,두쫀쿠,3.0,1.4,4425.0,44.0,5.0,49.0,1.0,1.0,2.0
2026-05-07,두쫀쿠,2.0,0.6,2262.0,14.0,0.0,14.0,1.0,0.0,2.0
2026-05-08,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-09,두쫀쿠,1.0,0.3,1612.0,11.0,1.0,12.0,1.0,0.0,1.0
2026-05-10,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11,두쫀쿠,1.0,0.8,34.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-05-12,두쫀쿠,1.0,0.8,40787.0,507.0,54.0,561.0,1.0,1.0,0.0
2026-05-13,두쫀쿠,2.0,0.6,3152.0,14.0,1.0,15.0,1.0,0.0,2.0
2026-05-14,두쫀쿠,1.0,0.8,1577.0,11.0,0.0,11.0,1.0,1.0,0.0
2026-05-15,두쫀쿠,2.0,2.0,84167.0,778.0,43.0,821.0,1.0,2.0,0.0
2026-05-16,두쫀쿠,2.0,1.3,2785.0,15.0,3.0,18.0,1.0,1.0,1.0
2026-05-17,두쫀쿠,1.0,0.8,408.0,5.0,0.0,5.0,1.0,1.0,0.0
2026-05-18,두쫀쿠,2.0,2.0,18906.0,280.0,22.0,302.0,1.0,2.0,0.0
2026-05-19,두쫀쿠,2.0,2.0,332549.0,9037.0,91.0,9128.0,1.0,2.0,0.0
2026-05-20,두쫀쿠,1.0,0.3,494.0,7.0,0.0,7.0,1.0,0.0,1.0
2026-05-21,두쫀쿠,4.0,4.0,78655.0,826.0,84.0,910.0,1.0,4.0,0.0
2026-05-22,두쫀쿠,3.0,2.1,16306.0,253.0,16.0,269.0,2.0,2.0,1.0
2026-05-23,두쫀쿠,17.0,13.0,38467.0,370.0,18.0,388.0,2.0,13.0,4.0
2026-05-24,두쫀쿠,17.0,15.9,115418.0,1782.0,79.0,1861.0,2.0,16.0,1.0
2026-05-25,두쫀쿠,30.0,25.8,88871.0,1085.0,31.0,1116.0,2.0,26.0,4.0
2026-05-26,두쫀쿠,198.0,128.6,565055.0,20567.0,281.0,20848.0,2.0,100.0,98.0
