week,content_supply,weighted_supply,views,comments,engagements,view_per_item,engagement_per_item,avg_velocity,demand_pressure,content_supply_z,avg_velocity_z,demand_pressure_z
2026-03-02,2,1.6,199,6,15,99.5,7.5,1.2138777400432232,0.6069388700216116,-0.4041275960079997,-0.6306598035062011,-0.32639568359962023
2026-03-09,3,2.4000000000000004,2801,4,27,933.6666666666666,9.0,12.285730994152047,4.095243664717349,-0.4014250966519791,-0.5885760566401644,-0.18648802705739967
2026-03-16,9,7.2,33208,7,360,3689.777777777778,40.0,54.619000136208214,6.068777792912024,-0.3852101005158557,-0.42766870520602634,-0.10733423997960079
2026-03-23,8,6.4,12815,2,47,1601.875,5.875,26.442061781609198,3.3052577227011497,-0.38791259987187626,-0.5347683130096984,-0.21817249511674117
2026-03-30,9,7.2,4893,13,48,543.6666666666666,5.333333333333333,9.79737760063811,1.0885975111820123,-0.3852101005158557,-0.598034205327876,-0.30707749447792115
2026-04-06,9,7.2,363827,152,4635,40425.22222222222,515.0,823.5156009070295,91.50173343411439,-0.3852101005158557,2.4948817631166147,3.3191795880010377
2026-04-13,29,23.200000000000003,26831,9,418,925.2068965517242,14.413793103448276,23.002806994186304,0.7932002411788381,-0.3311601133954442,-0.5478408063457166,-0.3189251804536297
2026-04-20,63,50.400000000000006,8112,3,61,128.76190476190476,0.9682539682539683,3.6817082388510958,0.05843981331509676,-0.23927513529074468,-0.6212796616603385,-0.34839468373175186
2026-04-27,71,51.300000000000004,83420,38,481,1174.9295774647887,6.774647887323944,46.485881699212996,0.6547307281579295,-0.21765514044258008,-0.45858241853644677,-0.3244788651828873
2026-05-04,65,49.0,8414,6,82,129.44615384615383,1.2615384615384615,6.7746682110459195,0.10422566478532184,-0.23387013657870354,-0.6095234234272924,-0.3465583214988043
2026-05-11,58,45.5,132910,101,1431,2291.551724137931,24.67241379310345,194.22208280225522,3.348656600038883,-0.25278763207084753,0.10295798011931094,-0.21643186877178466
2026-05-18,287,273.3,600795,310,12865,2093.362369337979,44.825783972125436,488.8202671312427,1.7032065056837724,0.3660847204578639,1.222715904285641,-0.282426981070588
2026-05-25,1357,887.0,653926,312,21964,481.89093588798823,16.185703758290348,481.89093588798823,0.3551149122240149,3.2577590313998783,1.1963777461381941,-0.33649574706030816
