date,canonical_keyword,mentions,weighted_mentions,views,likes,comments,engagements,source_count,core_mentions,related_mentions
2026-04-28,버터떡,2,2.0,0,0,0,0,1,2,0
2026-04-29,버터떡,2,2.0,0,0,0,0,1,2,0
2026-04-30,버터떡,5,3.6,0,0,0,0,2,3,2
2026-05-01,버터떡,6,3.9,0,0,0,0,1,3,3
2026-05-02,버터떡,10,7.2,0,0,0,0,2,6,4
2026-05-03,버터떡,18,11.7,0,0,0,0,2,9,9
2026-05-04,버터떡,25,16.6,0,0,0,0,1,13,12
2026-05-05,버터떡,17,9.3,0,0,0,0,2,6,11
2026-05-06,버터떡,46,36.2,0,0,0,0,2,32,14
2026-05-07,버터떡,114,97.89999999999999,0,0,0,0,2,91,23
2026-05-08,버터떡,43,22.0,0,0,0,0,2,13,30
2026-05-09,버터떡,14,9.8,0,0,0,0,1,8,6
2026-05-10,버터떡,20,13.0,0,0,0,0,2,10,10
2026-05-11,버터떡,65,48.900000000000006,0,0,0,0,2,42,23
2026-05-12,버터떡,36,19.9,0,0,0,0,1,13,23
2026-05-13,버터떡,41,23.5,0,0,0,0,1,16,25
2026-05-14,버터떡,52,23.299999999999997,0,0,0,0,2,11,41
2026-05-15,버터떡,31,15.6,0,0,0,0,2,9,22
2026-05-16,버터떡,15,10.1,0,0,0,0,1,8,7
2026-05-17,버터떡,67,23.599999999999998,0,0,0,0,2,5,62
2026-05-18,버터떡,88,36.2,0,0,0,0,2,14,74
2026-05-19,버터떡,104,40.3,0,0,0,0,2,13,91
2026-05-20,버터떡,44,24.4,0,0,0,0,1,16,28
2026-05-21,버터떡,42,18.9,0,0,0,0,2,9,33
2026-05-22,버터떡,67,25.0,0,0,0,0,2,7,60
2026-05-23,버터떡,20,6.7,0,0,0,0,2,1,19
2026-05-24,버터떡,23,9.7,0,0,0,0,2,4,19
2026-05-25,버터떡,25,11.7,0,0,0,0,2,6,19
2026-05-26,버터떡,1251,739.3,0,0,0,0,2,520,731
