date,trend_index,mention_index,view_index,engagement_index,source_index
2026-04-16,18.9,31.1,0.0,0.0,33.3
2026-04-17,22.5,45.6,0.0,0.0,33.3
2026-04-18,22.5,38.1,0.0,0.0,33.3
2026-04-19,23.6,38.1,0.0,0.0,33.3
2026-04-20,23.6,45.6,0.0,0.0,33.3
2026-04-21,23.6,38.1,0.0,0.0,33.3
2026-04-22,25.2,47.6,0.0,0.0,33.3
2026-04-23,26.6,54.2,0.0,0.0,33.3
2026-04-24,27.1,40.9,0.0,0.0,33.3
2026-04-25,25.0,34.9,0.0,0.0,33.3
2026-04-26,22.8,40.9,0.0,0.0,33.3
2026-04-27,22.3,38.1,0.0,0.0,33.3
2026-04-28,24.4,47.6,0.0,0.0,33.3
2026-04-29,22.0,26.5,0.0,0.0,33.3
2026-04-30,25.5,52.3,0.0,0.0,66.7
2026-05-01,28.1,56.2,0.0,0.0,66.7
2026-05-02,33.7,53.7,0.0,0.0,66.7
2026-05-03,34.9,59.8,0.0,0.0,66.7
2026-05-04,37.0,68.3,0.0,0.0,66.7
2026-05-05,38.0,59.8,0.0,0.0,66.7
2026-05-06,40.4,74.2,0.0,0.0,66.7
2026-05-07,43.6,87.5,0.0,0.0,66.7
2026-05-08,44.4,64.6,0.0,0.0,66.7
2026-05-09,43.5,69.1,0.0,0.0,66.7
2026-05-10,40.3,68.0,0.0,0.0,66.7
2026-05-11,43.7,84.8,0.0,0.0,66.7
2026-05-12,46.4,85.9,0.0,0.0,66.7
2026-05-13,47.2,72.7,0.0,0.0,66.7
2026-05-14,44.3,67.0,0.0,0.0,66.7
2026-05-15,40.4,63.0,0.0,0.0,66.7
2026-05-16,38.5,61.3,0.0,0.0,66.7
2026-05-17,37.2,59.1,0.0,0.0,66.7
2026-05-18,37.7,66.0,0.0,0.0,66.7
2026-05-19,41.7,85.0,0.0,0.0,66.7
2026-05-20,47.2,92.1,0.0,0.0,66.7
2026-05-21,51.0,89.1,0.0,0.0,66.7
2026-05-22,53.1,97.3,0.0,0.0,66.7
2026-05-23,51.5,82.8,0.0,0.0,66.7
2026-05-24,53.0,97.9,0.0,0.0,66.7
2026-05-25,53.4,100.0,0.0,0.0,66.7
2026-05-26,56.3,100.0,0.0,0.0,66.7
