date,canonical_keyword,mentions,weighted_mentions,views,likes,comments,engagements,vpd,momentum,c_l_ratio,source_count,core_mentions,related_mentions
2026-06-13,왁뿌볼,35,35.0,103913.0,8053.0,595.0,8648.0,164071.9113993605,93742.27458883739,7.387633474050162,1,35,0
2026-06-14,왁뿌볼,15,15.0,90929.5,5192.5,454.5,5647.0,315395.9954666244,84819.45367368468,10.42334952742371,1,15,0
