date,canonical_keyword,mentions,weighted_mentions,views,likes,comments,engagements,source_count,core_mentions,related_mentions
2026-04-29,우베,1,0.8,0,0,0,0,1,1,0
2026-04-30,우베,7,6.2,0,0,0,0,2,7,0
2026-05-01,우베,3,2.1,0,0,0,0,2,2,1
2026-05-02,우베,5,4.6,0,0,0,0,2,5,0
2026-05-03,우베,6,3.5,0,0,0,0,2,3,3
2026-05-04,우베,7,6.0,0,0,0,0,2,7,0
2026-05-05,우베,6,5.6,0,0,0,0,2,6,0
2026-05-06,우베,15,11.1,0,0,0,0,2,10,5
2026-05-07,우베,10,8.7,0,0,0,0,2,9,1
2026-05-08,우베,8,5.2,0,0,0,0,1,4,4
2026-05-09,우베,7,5.9,0,0,0,0,2,6,1
2026-05-10,우베,17,10.6,0,0,0,0,2,9,8
2026-05-11,우베,40,36.4,0,0,0,0,2,36,4
2026-05-12,우베,44,39.5,0,0,0,0,2,39,5
2026-05-13,우베,8,4.8,0,0,0,0,2,4,4
2026-05-14,우베,18,12.8,0,0,0,0,2,12,6
2026-05-15,우베,14,12.0,0,0,0,0,2,12,2
2026-05-16,우베,7,6.4,0,0,0,0,2,7,0
2026-05-17,우베,8,6.2,0,0,0,0,2,6,2
2026-05-18,우베,30,28.900000000000002,0,0,0,0,2,29,1
2026-05-19,우베,35,31.4,0,0,0,0,2,31,4
2026-05-20,우베,19,17.3,0,0,0,0,2,18,1
2026-05-21,우베,14,9.200000000000001,0,0,0,0,2,8,6
2026-05-22,우베,8,5.9,0,0,0,0,1,5,3
2026-05-23,우베,21,20.2,0,0,0,0,2,21,0
2026-05-24,우베,50,49.6,0,0,0,0,2,50,0
2026-05-25,우베,101,76.6,0,0,0,0,2,69,32
2026-05-26,우베,337,248.6,0,0,0,0,2,211,126
