date,source,term,term_type,term_weight,mentions,weighted_mentions,views,likes,comments,engagements
2026-04-30,naver_news,ube,alias,1.0,2,2.0,0,0,0,0
2026-04-30,naver_news,우베맛,alias,1.0,1,1.0,0,0,0,0
2026-05-01,naver_news,ube,alias,1.0,1,1.0,0,0,0,0
2026-05-02,naver_news,ube,alias,1.0,3,3.0,0,0,0,0
2026-05-03,naver_news,ube,alias,1.0,1,1.0,0,0,0,0
2026-05-04,naver_news,ube,alias,1.0,2,2.0,0,0,0,0
2026-05-05,naver_news,ube,alias,1.0,4,4.0,0,0,0,0
2026-05-06,naver_news,ube,alias,1.0,8,8.0,0,0,0,0
2026-05-07,naver_news,ube,alias,1.0,4,4.0,0,0,0,0
2026-05-07,naver_news,우베맛,alias,1.0,2,2.0,0,0,0,0
2026-05-08,naver_news,ube,alias,1.0,4,4.0,0,0,0,0
2026-05-08,naver_news,우베 디저트,alias,1.0,1,1.0,0,0,0,0
2026-05-09,naver_news,ube,alias,1.0,4,4.0,0,0,0,0
2026-05-09,naver_news,우베 디저트,alias,1.0,1,1.0,0,0,0,0
2026-05-10,naver_news,ube,alias,1.0,5,5.0,0,0,0,0
2026-05-10,naver_news,우베 디저트,alias,1.0,10,10.0,0,0,0,0
2026-05-11,naver_news,ube,alias,1.0,15,15.0,0,0,0,0
2026-05-11,naver_news,우베 디저트,alias,1.0,16,16.0,0,0,0,0
2026-05-11,naver_news,우베맛,alias,1.0,1,1.0,0,0,0,0
2026-05-12,naver_news,ube,alias,1.0,14,14.0,0,0,0,0
2026-05-12,naver_news,우베 디저트,alias,1.0,20,20.0,0,0,0,0
2026-05-13,naver_news,ube,alias,1.0,1,1.0,0,0,0,0
2026-05-13,naver_news,우베 디저트,alias,1.0,1,1.0,0,0,0,0
2026-05-14,naver_news,ube,alias,1.0,3,3.0,0,0,0,0
2026-05-14,naver_news,우베,canonical,1.0,2,2.0,0,0,0,0
2026-05-14,naver_news,우베 디저트,alias,1.0,3,3.0,0,0,0,0
2026-05-15,naver_news,우베,canonical,1.0,14,14.0,0,0,0,0
2026-05-16,naver_news,우베,canonical,1.0,5,5.0,0,0,0,0
2026-05-17,naver_news,우베,canonical,1.0,4,4.0,0,0,0,0
2026-05-18,naver_news,ube,alias,1.0,2,2.0,0,0,0,0
2026-05-18,naver_news,우베,canonical,1.0,25,25.0,0,0,0,0
2026-05-19,naver_news,ube,alias,1.0,4,4.0,0,0,0,0
2026-05-19,naver_news,우베,canonical,1.0,23,23.0,0,0,0,0
2026-05-20,naver_news,ube,alias,1.0,1,1.0,0,0,0,0
2026-05-20,naver_news,우베,canonical,1.0,12,12.0,0,0,0,0
2026-05-21,naver_news,ube,alias,1.0,2,2.0,0,0,0,0
2026-05-21,naver_news,우베,canonical,1.0,3,3.0,0,0,0,0
2026-05-22,naver_news,ube,alias,1.0,2,2.0,0,0,0,0
2026-05-22,naver_news,우베,canonical,1.0,3,3.0,0,0,0,0
2026-05-23,naver_news,우베,canonical,1.0,1,1.0,0,0,0,0
2026-05-24,naver_news,ube,alias,1.0,1,1.0,0,0,0,0
2026-05-24,naver_news,우베,canonical,1.0,2,2.0,0,0,0,0
2026-05-25,naver_news,ube,alias,1.0,2,2.0,0,0,0,0
2026-05-25,naver_news,우베,canonical,1.0,3,3.0,0,0,0,0
2026-05-26,naver_news,ube,alias,1.0,1,1.0,0,0,0,0
2026-05-26,naver_news,우베,canonical,1.0,23,23.0,0,0,0,0
