week,content_supply,weighted_supply,views,comments,engagements,view_per_item,engagement_per_item
2026-04-27,8,8.0,0,0,0,0.0,0.0
2026-05-04,45,45.0,0,0,0,0.0,0.0
2026-05-11,99,99.0,0,0,0,0.0,0.0
2026-05-18,81,81.0,0,0,0,0.0,0.0
2026-05-25,29,29.0,0,0,0,0.0,0.0
