date,canonical_keyword,mentions,weighted_mentions,views,likes,comments,engagements,source_count,core_mentions,related_mentions
2026-05-18,콜라,27,27.0,0,0,0,0,1,27,0
2026-05-19,콜라,100,100.0,0,0,0,0,1,100,0
2026-05-20,콜라,33,33.0,0,0,0,0,1,33,0
2026-05-21,콜라,18,18.0,0,0,0,0,1,18,0
2026-05-22,콜라,21,21.0,0,0,0,0,1,21,0
2026-05-23,콜라,11,11.0,0,0,0,0,1,11,0
2026-05-24,콜라,34,34.0,0,0,0,0,1,34,0
2026-05-25,콜라,20,20.0,0,0,0,0,1,20,0
2026-05-26,콜라,336,336.0,0,0,0,0,2,336,0
