date,source,term,term_type,term_weight,mentions,weighted_mentions,views,likes,comments,engagements
2026-04-27,youtube,두쫀쿠,canonical,1.0,1,1.0,7544259,87785,643,88428
2026-04-27,youtube,카다이프,related,0.3,1,0.3,34171,223,6,229
2026-04-28,youtube,피스타치오,related,0.3,1,0.3,16934022,45492,8,45500
2026-04-29,youtube,두존쿠,typo,0.8,1,0.8,23896,55,20,75
2026-05-04,youtube,피스타치오,related,0.3,1,0.3,9612123,287944,4785,292729
2026-05-06,youtube,두쫀쿠,canonical,1.0,1,1.0,597140,10807,1031,11838
2026-05-11,youtube,두바이 쫀득 쿠키,alias,1.0,1,1.0,831789,13732,702,14434
2026-05-12,youtube,두존쿠,typo,0.8,1,0.8,40692,505,54,559
2026-05-19,youtube,두바이 쫀득 쿠키,alias,1.0,1,1.0,321464,8766,90,8856
2026-05-20,youtube,카다이프,related,0.3,1,0.3,27982,206,8,214
2026-05-26,naver_blog,두바이 쫀득 쿠키,alias,1.0,1,1.0,0,0,0,0
2026-05-26,naver_blog,두존쿠,typo,0.8,1,0.8,0,0,0,0
2026-05-26,naver_blog,두쫀쿠,canonical,1.0,2,2.0,0,0,0,0
2026-05-26,naver_blog,카다이프,related,0.3,1,0.3,0,0,0,0
2026-05-26,naver_blog,피스타치오,related,0.3,1,0.3,0,0,0,0
