week,content_supply,weighted_supply,views,comments,engagements,view_per_item,engagement_per_item
2026-04-27,4,2.4000000000000004,24536348,677,134232,6134087.0,33558.0
2026-05-04,2,1.3,10209263,5816,304567,5104631.5,152283.5
2026-05-11,2,1.8,872481,756,14993,436240.5,7496.5
2026-05-18,2,1.3,349446,98,9070,174723.0,4535.0
2026-05-25,6,4.4,0,0,0,0.0,0.0
