date,source,term,term_type,term_weight,mentions,weighted_mentions,views,likes,comments,engagements,vpd,momentum,c_l_ratio
2026-06-05,youtube,오버핏 셔츠,canonical,1.0,5,5.0,8152.0,77,4,81,1378.3289132215928,6826.433567619825,5.128205128205128
2026-06-06,youtube,오버핏 셔츠,canonical,1.0,2,2.0,165.0,0,1,1,32.686285302049505,141.81245114578337,100.0
2026-06-07,youtube,오버핏 셔츠,canonical,1.0,5,5.0,1827.0,8,2,10,478.842196877697,1628.6289339286323,22.22222222222222
2026-06-08,youtube,오버핏 셔츠,canonical,1.0,15,15.0,4662.0,52,9,61,1638.128089052756,4276.847807838578,16.9811320754717
2026-06-09,youtube,오버핏 셔츠,canonical,1.0,13,13.0,3469.0,14,2,16,1537.6345649763384,3240.176378577271,13.333333333333334
2026-06-10,youtube,오버핏 셔츠,canonical,1.0,6,6.0,10459.0,396,15,411,12361.248885770532,10177.23746941423,3.7783375314861463
2026-06-11,youtube,오버핏 셔츠,canonical,1.0,4,4.0,2385.0,10,0,10,11593.69661233593,2360.8972841356185,0.0
