date,source,term,term_type,term_weight,mentions,weighted_mentions,views,likes,comments,engagements,vpd,momentum,c_l_ratio
2026-06-13,youtube,왁뿌볼,canonical,1.0,34,34.0,104191.0,8079,592,8671,163605.08746318385,93947.81169878446,7.326732673267326
2026-06-14,youtube,왁뿌볼,canonical,1.0,16,16.0,82905.0,2363,316,2679,509801.81003104063,80694.31573573391,13.367174280879865
