date,canonical_keyword,mentions,weighted_mentions,views,likes,comments,engagements,source_count,core_mentions,related_mentions
2026-04-28,두쫀쿠,10,8.0,0,0,0,0,1,10,0
2026-04-29,두쫀쿠,6,3.3000000000000003,24704,121,26,147,2,3,3
2026-04-30,두쫀쿠,12,9.600000000000001,0,0,0,0,1,12,0
2026-05-01,두쫀쿠,16,11.3,46889,289,8,297,2,13,3
2026-05-02,두쫀쿠,8,5.4,2342,10,1,11,2,6,2
2026-05-03,두쫀쿠,13,8.9,9485,23,3,26,2,10,3
2026-05-04,두쫀쿠,12,9.100000000000001,115,7,0,7,2,11,1
2026-05-05,두쫀쿠,7,5.6000000000000005,0,0,0,0,1,7,0
2026-05-06,두쫀쿠,15,11.000000000000002,4425,44,5,49,2,13,2
2026-05-07,두쫀쿠,9,6.2,2262,14,0,14,2,7,2
2026-05-08,두쫀쿠,4,3.2,0,0,0,0,1,4,0
2026-05-09,두쫀쿠,11,8.3,1612,11,1,12,2,10,1
2026-05-10,두쫀쿠,7,5.6000000000000005,0,0,0,0,1,7,0
2026-05-11,두쫀쿠,11,8.8,34,0,0,0,2,11,0
2026-05-12,두쫀쿠,12,9.600000000000001,40787,507,54,561,2,12,0
2026-05-13,두쫀쿠,8,5.4,3152,14,1,15,2,6,2
2026-05-14,두쫀쿠,5,4.0,1577,11,0,11,2,5,0
2026-05-15,두쫀쿠,8,6.800000000000001,84167,778,43,821,2,8,0
2026-05-16,두쫀쿠,7,5.3,2785,15,3,18,2,6,1
2026-05-17,두쫀쿠,7,5.6000000000000005,408,5,0,5,2,7,0
2026-05-18,두쫀쿠,6,5.2,18906,280,22,302,2,6,0
2026-05-19,두쫀쿠,10,8.4,332549,9037,91,9128,2,10,0
2026-05-20,두쫀쿠,8,5.9,494,7,0,7,2,7,1
2026-05-21,두쫀쿠,56,53.8,78655,826,84,910,2,56,0
2026-05-22,두쫀쿠,67,65.3,16306,253,16,269,2,66,1
2026-05-23,두쫀쿠,54,50.0,38467,370,18,388,2,50,4
2026-05-24,두쫀쿠,97,95.9,115418,1782,79,1861,2,96,1
2026-05-25,두쫀쿠,315,226.8,88871,1085,31,1116,2,191,124
2026-05-26,두쫀쿠,1012,640.9,565055,20567,281,20848,2,483,529
