week,content_supply,weighted_supply,views,comments,engagements,view_per_item,engagement_per_item,avg_velocity,demand_pressure,content_supply_z,avg_velocity_z,demand_pressure_z
2026-04-27,65,46.5,83420,38,481,1283.3846153846155,7.4,50.776886163755734,0.7811828640577805,-0.5424029594695283,-0.840412219623323,-0.3491938852836824
2026-05-04,65,49.0,8414,6,82,129.44615384615383,1.2615384615384615,6.7746682110459195,0.10422566478532184,-0.5424029594695283,-1.0327257206417797,-0.867752806101413
2026-05-11,58,45.5,132910,101,1431,2291.551724137931,24.67241379310345,194.22208280225522,3.348656600038883,-0.5551610935968357,-0.21347909549129496,1.6175278087748184
2026-05-18,298,284.5,600795,310,12865,2016.0906040268455,43.171140939597315,470.7765659955257,1.5797871342131735,-0.11773935208915168,0.9952136331890425,0.26254843599937644
2026-05-25,1327,867.7,653926,312,21964,492.78522984174833,16.55162019593067,492.78522984174833,0.37135284841126476,1.757706364625044,1.0914034025673554,-0.663129553389099
