week,content_supply,weighted_supply,views,comments,engagements,view_per_item,engagement_per_item
2026-05-04,2,1.6,102040,77,1806,51020.0,903.0
2026-05-11,5,4.0,193940,505,2954,38788.0,590.8
2026-05-18,7,6.4,115791,43,1587,16541.571428571428,226.71428571428572
2026-05-25,30,30.0,12610,12,147,420.3333333333333,4.9
