date,trend_index,mention_index,view_index,engagement_index,source_index
2026-03-03,13.7,20.7,0.0,0.0,33.3
2026-03-04,11.7,12.7,0.0,0.0,33.3
2026-03-05,7.8,0.0,0.0,0.0,0.0
2026-03-06,6.5,12.7,0.0,0.0,33.3
2026-03-07,3.2,0.0,0.0,0.0,0.0
2026-03-08,3.2,0.0,0.0,0.0,0.0
2026-03-09,3.2,12.7,0.0,0.0,33.3
2026-03-10,3.2,0.0,0.0,0.0,0.0
2026-03-11,3.2,0.0,0.0,0.0,0.0
2026-03-12,4.6,20.7,0.0,0.0,33.3
2026-03-13,9.1,20.7,0.0,0.0,33.3
2026-03-14,12.4,12.7,0.0,0.0,33.3
2026-03-15,7.8,0.0,0.0,0.0,0.0
2026-03-16,6.5,12.7,0.0,0.0,33.3
2026-03-17,3.2,0.0,0.0,0.0,0.0
2026-03-18,7.8,20.7,0.0,0.0,33.3
2026-03-19,9.1,20.7,0.0,0.0,33.3
2026-03-20,12.4,12.7,0.0,0.0,33.3
2026-03-21,11.0,12.7,0.0,0.0,33.3
2026-03-22,6.5,0.0,0.0,0.0,0.0
2026-03-23,7.8,20.7,0.0,0.0,33.3
2026-03-24,10.1,26.5,0.0,0.0,33.3
2026-03-25,10.1,0.0,0.0,0.0,0.0
2026-03-26,10.1,20.7,0.0,0.0,33.3
2026-03-27,4.6,0.0,0.0,0.0,0.0
2026-03-28,4.6,0.0,0.0,0.0,0.0
2026-03-29,3.2,12.7,0.0,0.0,33.3
2026-03-30,7.8,20.7,0.0,0.0,33.3
2026-03-31,12.4,20.7,0.0,0.0,33.3
2026-04-01,13.7,20.7,0.0,0.0,33.3
2026-04-02,9.1,0.0,0.0,0.0,0.0
2026-04-03,4.6,0.0,0.0,0.0,0.0
2026-04-04,3.2,12.7,0.0,0.0,33.3
2026-04-05,6.5,12.7,0.0,0.0,33.3
2026-04-06,12.8,31.1,0.0,0.0,33.3
2026-04-07,12.8,12.7,0.0,0.0,33.3
2026-04-08,9.5,0.0,0.0,0.0,0.0
2026-04-09,7.8,20.7,0.0,0.0,33.3
2026-04-10,4.6,0.0,0.0,0.0,0.0
2026-04-11,4.6,0.0,0.0,0.0,0.0
2026-04-12,4.6,20.7,0.0,0.0,33.3
2026-04-13,10.1,26.5,0.0,0.0,33.3
2026-04-14,15.6,26.5,0.0,0.0,33.3
2026-04-15,15.6,20.7,0.0,0.0,33.3
2026-04-16,14.7,20.7,0.0,0.0,33.3
2026-04-17,12.4,12.7,0.0,0.0,33.3
2026-04-18,13.3,26.5,0.0,0.0,33.3
2026-04-19,13.3,20.7,0.0,0.0,33.3
2026-04-20,10.1,0.0,0.0,0.0,0.0
2026-04-21,11.5,34.9,0.0,0.0,33.3
2026-04-22,11.5,20.7,0.0,0.0,33.3
2026-04-23,17.0,26.5,0.0,0.0,33.3
2026-04-24,16.4,31.1,0.0,0.0,33.3
2026-04-25,18.7,34.9,0.0,0.0,33.3
2026-04-26,13.2,0.0,0.0,0.0,0.0
2026-04-27,14.4,38.1,0.0,0.0,33.3
2026-04-28,7.5,0.0,0.0,0.0,0.0
2026-04-29,10.7,12.7,0.0,0.0,33.3
2026-04-30,12.7,43.7,0.0,0.0,66.7
2026-05-01,20.8,35.3,0.0,0.0,66.7
2026-05-02,27.2,43.9,0.0,0.0,66.7
2026-05-03,28.0,49.0,0.0,0.0,66.7
2026-05-04,31.5,56.1,0.0,0.0,66.7
2026-05-05,32.3,49.0,0.0,0.0,66.7
2026-05-06,35.9,70.5,0.0,0.0,66.7
2026-05-07,35.1,51.4,0.0,0.0,66.7
2026-05-08,33.9,48.3,0.0,0.0,33.3
2026-05-09,31.0,53.1,0.0,0.0,66.7
2026-05-10,34.0,69.3,0.0,0.0,66.7
2026-05-11,40.5,80.7,0.0,0.0,66.7
2026-05-12,45.5,83.2,0.0,0.0,66.7
2026-05-13,41.4,44.5,0.0,0.0,66.7
2026-05-14,38.5,63.6,0.0,0.0,66.7
2026-05-15,35.0,61.9,0.0,0.0,66.7
2026-05-16,35.3,46.1,0.0,0.0,66.7
2026-05-17,31.8,42.8,0.0,0.0,66.7
2026-05-18,33.8,73.6,0.0,0.0,66.7
2026-05-19,42.5,98.8,0.0,0.0,66.7
2026-05-20,52.1,100.0,0.0,0.0,66.7
2026-05-21,56.1,98.0,0.0,0.0,66.7
2026-05-22,55.6,95.4,0.0,0.0,66.7
2026-05-23,54.7,95.0,0.0,0.0,66.7
2026-05-24,53.7,92.1,0.0,0.0,66.7
2026-05-25,54.5,100.0,0.0,0.0,66.7
2026-05-26,55.3,100.0,0.0,0.0,66.7
