week,content_supply,weighted_supply,views,comments,engagements,view_per_item,engagement_per_item
2026-03-23,1,1.0,0,0,0,0.0,0.0
2026-03-30,20,20.0,0,0,0,0.0,0.0
2026-04-06,21,21.0,0,0,0,0.0,0.0
2026-04-13,13,13.0,0,0,0,0.0,0.0
2026-04-20,10,10.0,0,0,0,0.0,0.0
2026-04-27,11,11.0,0,0,0,0.0,0.0
2026-05-04,21,21.0,0,0,0,0.0,0.0
2026-05-11,98,98.0,0,0,0,0.0,0.0
2026-05-18,267,124.89999999999999,0,0,0,0.0,0.0
2026-05-25,466,268.6,0,0,0,0.0,0.0
