week,content_supply,weighted_supply,views,comments,engagements,view_per_item,engagement_per_item,avg_velocity,demand_pressure,content_supply_z,avg_velocity_z,demand_pressure_z
2026-03-02,4,3.2,0,0,0,0.0,0.0,0.0,0.0,-0.5070216188065415,0.0,0.0
2026-03-09,6,4.800000000000001,0,0,0,0.0,0.0,0.0,0.0,-0.4999758881336553,0.0,0.0
2026-03-16,7,5.6000000000000005,0,0,0,0.0,0.0,0.0,0.0,-0.4964530227972122,0.0,0.0
2026-03-23,8,6.4,0,0,0,0.0,0.0,0.0,0.0,-0.4929301574607691,0.0,0.0
2026-03-30,8,6.4,0,0,0,0.0,0.0,0.0,0.0,-0.4929301574607691,0.0,0.0
2026-04-06,9,7.2,0,0,0,0.0,0.0,0.0,0.0,-0.48940729212432604,0.0,0.0
2026-04-13,16,12.8,0,0,0,0.0,0.0,0.0,0.0,-0.4647472347692243,0.0,0.0
2026-04-20,19,15.200000000000001,0,0,0,0.0,0.0,0.0,0.0,-0.454178638759895,0.0,0.0
2026-04-27,36,31.400000000000002,0,0,0,0.0,0.0,0.0,0.0,-0.39428992804036234,0.0,0.0
2026-05-04,105,97.9,0,0,0,0.0,0.0,0.0,0.0,-0.15121221982578847,0.0,0.0
2026-05-11,160,140.5,0,0,0,0.0,0.0,0.0,0.0,0.04254537367858201,0.0,0.0
2026-05-18,675,563.4,0,0,0,0.0,0.0,0.0,0.0,1.8568210219467784,0.0,0.0
2026-05-25,870,633.5,0,0,0,0.0,0.0,0.0,0.0,2.5437797625531826,0.0,0.0
