date,canonical_keyword,mentions,weighted_mentions,views,likes,comments,engagements,source_count,core_mentions,related_mentions
2026-03-03,우베,2.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-03-04,우베,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-03-05,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,우베,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-03-07,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,우베,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-03-10,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,우베,2.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-03-13,우베,2.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-03-14,우베,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-03-15,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,우베,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-03-17,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,우베,2.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-03-19,우베,2.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-03-20,우베,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-03-21,우베,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-03-22,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,우베,2.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-03-24,우베,3.0,2.4000000000000004,0.0,0.0,0.0,0.0,1.0,3.0,0.0
2026-03-25,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,우베,2.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-03-27,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-28,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-29,우베,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-03-30,우베,2.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-03-31,우베,2.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-04-01,우베,2.0,1.6,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-04-02,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-03,우베,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-04,우베,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-04-05,우베,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-04-06,우베,4.0,3.2,0.0,0.0,0.0,0.0,1.0,4.0,0.0
2026-04-07,우베,1.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
